AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection
float,float,float,float,float,float,float,float,float,float,float,float,float,float,bool
,,,,,,,,,,,,,,
4271.79,4004.62,4249.74,4117.95,4343.08,4616.41,4078.97,4626.15,4206.67,4218.97,4205.64,4267.69,4589.23,4347.18,0
4338.46,4046.67,4271.28,4136.41,4348.72,4625.13,4073.33,4616.92,4189.74,4218.97,4190.77,4277.95,4608.72,4389.74,0
4311.28,4018.97,4264.62,4117.95,4348.21,4635.38,4083.08,4631.79,4203.59,4248.72,4207.18,4289.74,4620,4373.85,0
4281.54,3997.44,4265.64,4136.92,4346.15,4620.51,4071.79,4612.31,4201.54,4224.62,4206.15,4268.21,4608.21,4337.95,0
4281.54,3992.82,4240,4105.64,4322.05,4609.23,4061.03,4616.92,4199.49,4224.1,4211.28,4265.64,4595.38,4348.72,1
4269.74,3986.67,4253.33,4103.59,4330.77,4616.92,4085.64,4604.1,4192.82,4211.28,4192.31,4275.38,4573.33,4321.54,0
4298.97,4020,4270.26,4136.92,4332.82,4615.38,4044.1,4609.23,4201.03,4228.21,4205.64,4276.41,4622.56,4358.46,1
4356.92,4064.62,4266.67,4121.03,4336.41,4618.97,4075.38,4596.41,4172.82,4207.69,4181.03,4275.38,4584.1,4386.67,0
4277.95,3976.41,4246.15,4121.03,4351.28,4633.33,4081.03,4629.74,4206.15,4232.82,4204.62,4262.56,4605.13,4341.03,0
4281.03,4003.08,4231.79,4110.77,4324.62,4600,4052.31,4595.38,4181.03,4206.15,4167.69,4246.67,4566.67,4336.41,1
4303.08,4004.62,4253.33,4128.72,4339.49,4621.03,4071.28,4604.1,4194.87,4245.13,4205.64,4287.69,4614.87,4381.03,0
4280.51,3986.15,4247.69,4107.18,4334.36,4603.08,4051.28,4625.64,4208.72,4225.13,4215.9,4277.44,4598.46,4350.77,1
4262.56,3977.44,4243.08,4075.38,4321.03,4609.23,4054.36,4600,4183.59,4221.54,4169.74,4256.92,4577.95,4337.44,0
4300.51,4025.13,4258.46,4134.36,4318.97,4585.13,4069.74,4594.36,4175.9,4216.92,4174.87,4278.46,4594.87,4352.31,0
4264.62,4032.82,4232.82,4111.79,4334.36,4604.1,4060.51,4596.41,4173.85,4197.95,4171.79,4245.64,4563.08,4320,0
4347.18,4006.67,4296.92,4151.79,4384.62,4666.67,4111.28,4654.36,4232.82,4253.33,4201.54,4299.49,4604.1,4378.46,1
4279.49,3976.41,4252.82,4083.59,4348.21,4630.26,4088.72,4626.67,4210.77,4246.67,4213.33,4280,4600.51,4357.95,0
4284.62,4001.54,4266.67,4102.05,4341.03,4626.67,4090.77,4631.79,4215.38,4242.05,4211.28,4286.15,4602.05,4350.26,0
4267.69,3963.08,4228.72,4102.56,4318.46,4616.92,4083.59,4610.26,4195.38,4223.59,4175.9,4262.56,4595.38,4342.56,1
4310.77,3971.28,4257.44,4135.9,4326.67,4611.79,4066.67,4602.56,4192.31,4212.31,4168.21,4278.97,4613.33,4386.15,1
4258.97,3979.49,4245.13,4106.67,4333.33,4634.87,4093.85,4630.77,4210.26,4231.79,4193.33,4273.33,4589.23,4334.36,0
4269.23,4018.46,4254.36,4118.97,4334.36,4616.41,4041.54,4613.85,4208.72,4228.72,4194.87,4266.15,4609.23,4338.97,1
4299.49,3991.28,4262.05,4124.1,4338.46,4616.41,4062.56,4618.46,4198.46,4238.46,4207.18,4273.33,4607.69,4348.21,0
4263.59,4013.85,4250.26,4117.95,4335.38,4607.69,4040,4599.49,4186.67,4224.62,4192.31,4264.62,4609.74,4323.08,1
4312.82,4004.1,4275.9,4135.38,4326.15,4611.28,4066.67,4622.56,4203.08,4224.62,4195.38,4283.59,4613.33,4373.33,1
4287.69,4012.31,4263.08,4127.18,4335.38,4617.95,4076.41,4601.54,4209.23,4245.64,4202.56,4269.23,4603.59,4336.92,1
4316.92,4011.28,4267.18,4123.08,4338.97,4600,4048.21,4602.05,4177.95,4223.59,4184.62,4270.77,4601.54,4367.69,1
4375.9,4076.92,4322.56,4181.03,4408.72,4701.03,4134.87,4684.1,4272.31,4307.18,4286.67,4351.28,4682.05,4437.95,0
4291.79,4013.85,4263.59,4106.15,4327.18,4617.95,4084.1,4604.62,4196.41,4213.85,4187.18,4271.28,4572.82,4356.41,0
4285.13,3975.38,4266.15,4115.9,4348.72,4633.33,4084.62,4641.03,4216.41,4248.72,4216.41,4287.69,4622.56,4353.85,0
4278.46,4001.03,4262.05,4108.21,4341.54,4614.87,4071.79,4623.08,4205.64,4228.21,4192.82,4274.36,4589.74,4333.85,0
4294.87,4013.33,4261.54,4125.64,4357.95,4602.56,4045.13,4596.41,4189.23,4224.62,4188.21,4267.18,4596.92,4355.9,1
4220.51,4006.67,4207.69,4089.74,4329.74,4610.26,4050.77,4603.59,4173.85,4177.44,4147.18,4232.31,4530.77,4269.74,0
4289.74,4000.51,4248.72,4112.31,4344.1,4615.9,4066.15,4610.77,4181.03,4225.13,4192.31,4267.69,4592.82,4341.03,1
4280.51,4027.69,4264.62,4121.03,4342.56,4617.95,4051.28,4601.54,4194.36,4232.82,4205.64,4273.85,4622.56,4349.74,1
4316.41,4009.23,4281.03,4151.79,4355.9,4635.38,4067.18,4632.82,4216.41,4259.49,4229.23,4295.9,4628.72,4383.59,0
4409.74,4113.33,4384.62,4232.82,4452.82,4748.72,4165.64,4721.03,4312.31,4352.82,4319.49,4384.62,4719.49,4464.62,0
4264.62,4024.1,4248.72,4126.15,4335.38,4621.03,4098.97,4601.03,4188.21,4187.18,4150.26,4255.9,4520.51,4298.97,1
4289.23,3959.49,4250.77,4086.67,4321.54,4588.21,4085.13,4613.33,4206.15,4246.15,4226.67,4284.1,4646.15,4391.79,1
4327.18,4008.21,4272.31,4125.64,4330.77,4614.87,4068.21,4626.67,4196.92,4221.03,4193.85,4275.38,4584.62,4374.36,1
4267.18,3986.15,4239.49,4107.18,4345.13,4611.79,4067.69,4601.54,4190.77,4222.05,4194.36,4267.69,4601.54,4340,1
4297.44,4054.87,4264.1,4136.41,4355.9,4630.26,4063.59,4600.51,4203.08,4225.13,4189.23,4266.67,4614.87,4347.18,0
4331.28,4030.26,4295.9,4155.38,4387.69,4663.08,4116.41,4660,4244.62,4264.1,4212.82,4308.21,4634.87,4385.64,1
4293.85,3989.23,4250.77,4104.62,4332.82,4603.08,4052.31,4605.64,4188.21,4222.56,4197.95,4268.72,4586.15,4350.26,1
4280.51,3976.92,4263.59,4107.69,4335.38,4627.18,4076.41,4626.67,4210.77,4233.33,4210.26,4286.15,4610.77,4350.77,0
4263.08,3957.95,4244.1,4096.92,4322.56,4600,4048.21,4613.33,4188.21,4205.64,4183.59,4262.05,4560.51,4322.56,1
4307.18,4005.13,4274.36,4113.85,4351.79,4627.18,4100.51,4623.59,4196.92,4233.33,4212.82,4283.59,4614.36,4378.46,1
4337.95,3980,4265.64,4104.62,4336.41,4631.28,4112.82,4636.92,4224.1,4244.1,4243.08,4315.9,4656.41,4405.13,1
4305.13,4026.15,4278.97,4140,4349.23,4628.72,4086.15,4623.59,4203.08,4250.77,4202.05,4275.9,4609.74,4358.46,1
4301.03,4008.21,4264.1,4102.56,4331.28,4609.74,4050.26,4611.79,4194.87,4234.36,4194.36,4265.13,4603.59,4341.54,1
4289.74,4034.36,4273.33,4121.54,4353.33,4621.03,4108.21,4627.69,4212.82,4229.23,4218.97,4295.9,4620.51,4360,1
4375.9,4026.67,4281.54,4120,4319.49,4602.56,4051.28,4611.79,4193.33,4237.44,4237.95,4308.21,4653.85,4446.15,1
4271.79,4006.15,4261.03,4115.9,4344.1,4618.97,4080,4617.95,4196.41,4225.64,4190.26,4265.64,4589.74,4327.69,0
4441.03,4075.38,4298.46,4144.1,4351.28,4624.62,4073.33,4588.21,4184.1,4257.44,4241.03,4317.44,4674.36,4472.31,0
4275.9,3980,4241.03,4101.54,4332.31,4613.85,4064.62,4632.31,4201.03,4240.51,4210.77,4266.15,4588.21,4341.03,1
4292.31,3967.18,4228.21,4105.64,4327.69,4615.38,4075.38,4614.36,4206.15,4246.15,4191.28,4274.36,4620.51,4374.36,1
4314.36,4014.87,4281.03,4138.97,4344.62,4614.87,4060,4622.05,4200,4243.59,4194.87,4287.69,4622.56,4372.31,1
4293.33,3992.31,4270.77,4112.31,4321.03,4613.85,4056.92,4605.13,4197.95,4231.79,4201.54,4286.67,4618.97,4353.85,0
4256.92,3992.31,4263.59,4129.23,4333.85,4618.46,4066.15,4610.26,4192.31,4198.46,4169.74,4263.59,4556.92,4315.9,0
4291.79,3992.82,4265.13,4099.49,4330.26,4611.79,4044.62,4606.15,4184.1,4226.15,4193.33,4276.92,4600.51,4363.08,1
4275.9,4023.59,4249.23,4108.72,4338.46,4616.92,4043.08,4595.9,4187.18,4235.9,4198.46,4262.05,4620,4332.31,1
4306.67,4010.26,4280,4121.03,4330.26,4600.51,4047.69,4610.77,4197.95,4227.69,4209.74,4287.69,4603.08,4371.28,1
4311.79,4000,4266.67,4108.72,4334.36,4613.85,4063.08,4615.38,4213.85,4234.36,4208.21,4276.41,4610.26,4373.85,1
4301.03,4016.92,4278.97,4129.23,4346.67,4616.41,4083.59,4621.03,4213.33,4245.64,4222.56,4291.28,4615.38,4386.67,1
4215.38,4014.87,4203.59,4098.97,4334.87,4618.46,4055.9,4605.64,4184.62,4186.67,4154.36,4230.26,4543.08,4270.26,0
4309.74,4005.13,4263.59,4127.69,4348.21,4621.54,4077.95,4610.26,4215.9,4242.56,4215.38,4292.82,4620.51,4367.69,0
4291.79,3990.26,4244.62,4107.69,4338.97,4614.87,4055.38,4603.59,4200.51,4227.18,4182.05,4272.31,4613.33,4352.31,0
4240.51,4035.38,4216.92,4114.87,4335.38,4617.44,4051.79,4595.38,4179.49,4190.26,4160,4230.26,4556.41,4294.87,0
4298.46,3993.85,4252.82,4108.21,4325.64,4625.64,4078.97,4615.38,4205.64,4234.87,4202.56,4278.46,4592.31,4371.79,0
4385.13,4088.72,4344.62,4197.95,4420.51,4714.87,4140,4697.95,4285.13,4328.21,4297.44,4363.59,4695.38,4450.77,0
4286.15,3971.79,4266.15,4098.97,4357.44,4634.36,4093.33,4626.15,4203.59,4233.85,4212.31,4282.56,4622.05,4372.82,1
4285.13,3992.82,4262.56,4100,4331.28,4613.85,4055.9,4612.31,4193.85,4228.21,4162.56,4265.64,4593.85,4354.36,0
4267.18,3971.28,4246.15,4097.44,4318.46,4604.62,4057.44,4612.82,4179.49,4214.87,4190.77,4266.15,4570.26,4328.21,1
4301.54,4023.59,4260,4127.18,4344.1,4625.64,4070.26,4587.18,4190.26,4228.21,4183.08,4274.87,4602.56,4362.05,0
4284.1,4020.51,4278.97,4137.44,4344.1,4634.87,4101.03,4630.26,4212.82,4207.69,4180,4284.1,4549.74,4346.15,1
4277.44,3989.23,4256.41,4103.59,4341.54,4621.54,4067.18,4611.28,4198.46,4224.1,4198.97,4274.36,4596.41,4334.87,0
4290.26,4004.1,4269.74,4124.62,4330.26,4598.97,4064.62,4622.56,4208.21,4226.15,4214.87,4284.1,4598.46,4370.26,0
4340.51,4042.05,4279.49,4129.74,4328.72,4616.41,4060.51,4612.82,4206.67,4238.97,4218.46,4301.54,4630.26,4398.46,0
4306.67,3996.41,4269.74,4119.49,4334.36,4626.67,4081.03,4604.62,4201.54,4233.33,4204.62,4287.69,4597.44,4382.56,0
4275.38,3973.85,4249.74,4106.67,4328.72,4611.28,4083.08,4603.59,4198.97,4220.51,4191.28,4280.51,4583.59,4337.95,0
4282.05,3982.56,4232.82,4093.85,4335.9,4618.97,4057.44,4616.92,4209.74,4221.54,4198.46,4256.41,4604.1,4342.56,0
4315.38,4008.21,4281.54,4125.13,4348.21,4624.62,4058.97,4605.64,4189.74,4235.9,4181.03,4282.56,4607.18,4367.18,0
4290.26,3999.49,4264.62,4114.36,4338.46,4623.59,4070.26,4634.87,4212.82,4249.23,4204.62,4284.1,4608.21,4361.54,0
4434.36,4109.23,4314.87,4164.62,4347.18,4617.95,4065.64,4596.92,4201.03,4224.62,4227.69,4307.69,4665.64,4463.59,1
4300,4045.13,4263.08,4117.44,4352.31,4620.51,4070.77,4604.62,4212.31,4227.69,4206.67,4277.44,4612.31,4352.31,0
4385.64,4064.1,4347.69,4202.56,4425.13,4701.03,4150.77,4686.15,4264.62,4303.08,4293.85,4357.95,4701.03,4452.31,1
4300,3992.31,4277.95,4123.08,4335.38,4616.92,4061.03,4629.23,4206.67,4242.05,4202.05,4292.31,4596.41,4366.15,1
4375.9,4071.28,4345.13,4194.36,4407.18,4686.67,4136.41,4670.77,4255.9,4277.44,4267.18,4338.97,4680,4446.67,1
4320,4018.97,4280.51,4128.72,4333.85,4627.18,4071.79,4627.69,4216.41,4237.44,4206.15,4289.23,4625.64,4387.18,1
4491.79,4129.23,4336.41,4186.15,4347.18,4606.67,4060.51,4597.44,4175.38,4210.77,4243.08,4330.77,4680.51,4518.46,0
4267.69,3990.77,4264.1,4111.79,4335.38,4620,4074.36,4602.56,4191.28,4204.1,4161.54,4272.31,4536.92,4320.51,1
4309.74,3998.46,4258.97,4126.15,4336.41,4622.56,4082.05,4606.67,4214.36,4236.92,4203.59,4283.08,4605.64,4352.82,0
4289.23,4018.46,4261.03,4125.13,4351.28,4629.23,4082.05,4605.64,4191.28,4214.36,4199.49,4263.59,4590.26,4363.08,0
4301.03,4016.92,4251.28,4121.54,4326.15,4589.23,4080,4597.44,4183.08,4223.59,4182.05,4276.92,4600.51,4350.77,0
4300,4008.72,4263.08,4121.54,4340,4620,4056.41,4627.69,4217.44,4251.79,4212.82,4280.51,4616.41,4369.23,1
4278.46,3980.51,4234.36,4101.54,4331.79,4613.33,4049.23,4627.18,4208.21,4234.87,4191.79,4268.72,4574.36,4338.46,1
4334.36,3970.77,4262.05,4120,4336.41,4600,4064.1,4592.82,4177.44,4218.97,4188.72,4280.51,4586.15,4381.54,1
4297.95,4006.67,4264.62,4101.03,4345.13,4630.77,4081.54,4625.13,4221.54,4251.28,4221.54,4286.15,4615.38,4365.13,0
4278.97,4000,4248.72,4112.31,4324.62,4606.15,4037.95,4609.74,4197.95,4227.69,4193.33,4257.95,4606.15,4344.62,1
4261.03,4005.13,4233.33,4107.18,4348.72,4624.62,4106.67,4603.08,4201.54,4222.56,4187.18,4261.03,4572.82,4311.79,0
4295.38,4021.54,4267.18,4137.95,4349.74,4619.49,4072.31,4609.74,4197.95,4222.56,4201.54,4266.67,4588.21,4359.49,1
4310.26,3998.46,4277.95,4134.87,4355.38,4630.26,4085.64,4643.08,4200,4234.36,4228.21,4296.92,4634.87,4370.26,0
4315.9,4049.23,4275.9,4163.59,4347.69,4623.59,4082.56,4617.95,4197.44,4244.1,4204.62,4271.79,4611.28,4355.38,1
4313.33,3989.23,4265.13,4101.03,4323.59,4610.77,4076.92,4631.79,4209.23,4238.46,4199.49,4281.54,4591.79,4371.79,1
4269.74,3990.77,4243.59,4112.82,4320,4614.36,4046.67,4603.59,4185.64,4205.64,4178.46,4261.03,4597.95,4324.1,1
4281.03,4007.69,4250.77,4113.85,4337.44,4611.28,4040,4585.64,4168.72,4201.03,4179.49,4257.44,4602.05,4326.15,1
4298.46,3996.92,4261.54,4107.69,4338.97,4618.46,4052.82,4612.82,4198.97,4222.56,4197.95,4267.69,4590.26,4340,1
4321.54,4034.87,4288.72,4160,4372.82,4646.15,4102.56,4676.92,4221.54,4241.54,4222.56,4292.82,4617.95,4369.23,0
4280,3972.31,4245.64,4104.62,4335.38,4605.64,4067.69,4600.51,4181.54,4227.69,4194.87,4264.62,4596.92,4340,1
4274.87,3966.67,4246.67,4090.26,4316.41,4587.18,4042.56,4606.67,4182.05,4230.26,4192.82,4261.03,4591.28,4347.18,0
4280.51,3991.79,4241.03,4085.13,4333.85,4615.38,4096.41,4620.51,4201.03,4217.44,4178.97,4280.51,4613.85,4342.05,1
4406.15,4038.97,4305.64,4139.49,4356.92,4630.77,4086.67,4634.87,4221.03,4271.79,4270.77,4330.26,4745.64,4504.62,0
4400,4030.77,4263.08,4139.49,4347.69,4614.87,4073.85,4581.03,4174.36,4227.69,4222.05,4292.31,4646.67,4453.33,1
4368.72,4054.36,4316.92,4185.64,4409.74,4676.41,4140,4664.1,4244.1,4280.51,4252.82,4319.49,4668.21,4419.49,1
4296.41,3996.92,4268.72,4121.54,4337.95,4618.97,4099.49,4623.59,4207.69,4244.1,4206.67,4278.97,4614.36,4350.26,1
4327.69,4026.15,4269.23,4126.15,4324.62,4609.74,4072.31,4612.31,4207.69,4231.79,4210.26,4284.1,4609.23,4385.64,0
4366.15,4013.85,4298.97,4137.44,4361.03,4632.82,4088.21,4643.08,4242.56,4290.77,4272.82,4323.08,4724.1,4468.72,1
4309.23,4008.72,4262.56,4108.72,4330.77,4623.08,4092.31,4600.51,4190.26,4230.26,4200.51,4285.64,4594.87,4390.26,0
4288.21,4002.56,4248.72,4122.05,4351.28,4623.08,4058.46,4612.82,4208.21,4234.87,4208.21,4273.33,4605.64,4343.59,0
4267.18,3994.36,4245.64,4107.18,4333.85,4622.56,4084.62,4614.87,4196.41,4218.46,4189.23,4264.62,4573.33,4306.67,0
4284.62,4000.51,4252.31,4101.03,4324.62,4601.54,4089.23,4607.18,4187.18,4214.36,4194.87,4273.33,4587.69,4359.49,1
4299.49,4001.03,4276.41,4116.41,4335.9,4620.51,4050.77,4615.9,4194.87,4232.31,4188.72,4278.46,4609.23,4369.23,0
4317.95,4011.28,4277.44,4127.18,4337.44,4610.26,4062.56,4610.77,4204.62,4233.85,4206.67,4276.41,4602.56,4357.44,1
4292.31,4024.62,4266.67,4131.28,4338.97,4618.97,4074.87,4612.31,4209.23,4217.44,4193.33,4278.46,4606.15,4347.69,0
4295.9,4005.13,4263.59,4120,4336.92,4615.9,4050.77,4614.36,4183.59,4215.9,4196.92,4275.38,4578.46,4358.97,1
4292.31,3982.05,4258.97,4109.23,4321.54,4612.31,4075.9,4602.05,4189.23,4213.85,4192.82,4277.44,4596.92,4349.74,0
4272.82,3988.21,4246.67,4108.21,4324.1,4620.51,4063.59,4624.62,4205.64,4230.77,4202.05,4269.74,4605.64,4334.87,0
4281.03,3993.85,4264.62,4107.18,4333.85,4606.15,4044.1,4615.38,4208.21,4225.64,4201.54,4278.46,4589.74,4348.21,1
4282.56,3989.23,4249.74,4109.23,4338.97,4620,4079.49,4620,4196.92,4228.21,4200.51,4267.18,4595.9,4327.69,0
4286.67,3976.92,4261.03,4119.49,4326.15,4601.54,4038.97,4579.49,4178.97,4213.85,4190.26,4273.85,4605.13,4340,1
4288.72,4045.64,4263.59,4152.31,4363.59,4641.03,4084.62,4637.95,4193.33,4218.46,4186.67,4269.74,4564.62,4318.97,0
4313.85,4011.28,4276.41,4119.49,4331.79,4620.51,4066.67,4620,4208.72,4233.85,4215.38,4266.15,4610.77,4366.67,1
4291.28,3994.36,4262.05,4116.92,4335.9,4617.44,4063.08,4613.33,4199.49,4226.15,4212.31,4280,4609.23,4373.85,0
4324.62,3966.15,4268.72,4104.62,4338.97,4620.51,4102.56,4641.54,4223.08,4242.56,4244.1,4317.95,4663.08,4405.64,1
4304.62,4008.72,4263.08,4123.59,4360,4637.44,4087.18,4618.46,4208.21,4246.67,4220,4267.69,4633.33,4381.54,1
4333.33,4032.82,4302.05,4136.92,4361.03,4648.21,4088.21,4637.44,4208.72,4255.38,4236.41,4296.41,4632.31,4388.72,0
4278.97,3995.9,4254.36,4124.62,4341.54,4622.56,4085.64,4609.74,4190.26,4236.92,4195.38,4264.1,4599.49,4338.97,1
4269.74,4022.05,4245.64,4122.05,4325.64,4604.1,4063.59,4611.79,4187.69,4189.74,4172.31,4252.31,4561.03,4317.95,0
4284.62,4003.08,4250.26,4115.9,4359.49,4627.18,4075.38,4611.28,4201.54,4227.69,4197.95,4264.1,4608.72,4340.51,0
4275.9,3995.38,4244.62,4085.64,4340.51,4627.18,4082.05,4633.33,4212.82,4237.95,4206.67,4268.72,4602.05,4350.77,0
4273.33,3997.44,4254.36,4119.49,4334.36,4612.31,4066.15,4605.64,4191.28,4215.9,4209.23,4274.36,4591.28,4352.31,0
4303.59,4055.38,4261.03,4139.49,4352.31,4632.31,4077.44,4628.72,4224.62,4234.36,4193.85,4284.1,4609.23,4350.26,0
4290.77,4005.13,4264.62,4109.23,4336.41,4603.08,4035.9,4605.13,4187.69,4235.38,4196.41,4270.26,4609.74,4361.03,0
